ID;Bird;Cage;Date of Transfer;Who
282;k18k-r11;U3;02.06.2006;Georg
283;s17k-r11;U3;02.06.2006;Georg
284;s18k-r11;U3;02.06.2006;Georg
285;s19k-r11;U3;02.06.2006;Georg
286;b1o-b3k;U4;02.06.2006;Georg
287;o1o-b3k;U4;02.06.2006;Georg
288;p1o-b3k;U4;02.06.2006;Georg
289;k16k-p20;M1;30.05.2006;Richard
290;k16k-p20;IS1;06.06.2006;Katja
291;k16k-p20;U1;06.06.2006;
292;silver6;M1;06.06.2006;Katja
293;s4k;M1;06.06.2006;Katja
294;s4k;M1;06.06.2006;Katja
295;k20k-sg8;E1;06.06.2006;Georg
296;s3k-y8;ZZ2;07.06.2006;Georg
297;r9k-s17;ZZ1;08.06.2006;Georg
298;g17k-p2;M1;08.06.2006;Claude
299;r4k-sk;M1;08.06.2006;Claude
300;s4k;IS3;08.06.2006;Katja
301;o19k-r16;M3;09.06.2006;Katja
302;s14k-r16;M3;09.06.2006;Katja
303;o16k-p20;M1;09.06.2006;Richard
304;silver6;IS1;11.06.2006;Richard
305;o16k-p20;IS1;12.06.2006;Richard
308;y16k-b3;TRC;01.06.2006;Richard
309;r1o-p11k;M7;14.06.2006;Georg
310;r4k-sk;E2;14.06.2006;Claude
311;y14k-s17;E2;06.06.2006;Claude
312;g17k-p2;MK;14.06.2006;Claude
313;o16k-p20;TRC;14.06.2006;Katja
314;r11k-y1;M1;12.06.2006;Richard
315;r11k-y1;IS1;15.06.2006;Katja
316;r11k-y1;TRC;15.06.2006;
317;o19k-r16;IS1;19.06.2006;Aymeric
319;r8o-s2;M4;16.06.2006;Florian
320;r9o-s2;M4;16.06.2006;Florian
322;r5o-s2;M4;16.06.2006;Florian
323;r6o-s2;M4;16.06.2006;Florian
324;b17k-sb;O2;16.06.2006;Florian
325;s10k-sb;O2;16.06.2006;Florian
326;y4o-wang;O3;09.06.2006;Katja
328;b14k-p11k;M1;19.06.2006;Aymeric
329;r6o-s2;M1;19.06.2006;Georg
330;r1o-p11k;E1;21.06.2006;Georg
331;r1o-p11k;E1;21.06.2006;
332;r6o-s2;MK;21.06.2006;Georg
333;s19k-r11;U1;16.06.2006;Katja
334;s18k-r11;U1;16.06.2006;Katja
335;s11k-sg8;U1;16.06.2006;Katja
336;r3o-p11k;IS3;04.06.2006;Katja
337;purple2;U1;21.06.2006;Katja
338;o11k-p20;U1;16.06.2006;Katja
339;k16k-p20;U1;16.06.2006;Katja
340;green3;U1;16.06.2006;Katja
341;dJO5a;O5;19.05.2006;
342;dJO1f;O1;28.04.2006;
343;dJM4a;M4;09.06.2006;
344;dJM3d;M3;25.05.2006;
345;blue18;U1;16.06.2006;Katja
346;k13k-r16;M1;22.06.2006;Georg
347;green9;MK;22.06.2006;Claude
348;g5k;MK;22.06.2006;Claude
349;b20o-ch900;U1;22.06.2006;Claude
350;r9o-s2;U1;22.06.2006;Claude
351;r7o-p11k;M7;22.06.2006;Claude
360;g12k-y8;U1;23.06.2006;Claude
361;k13k-r16;MK;24.06.2006;Richard
362;y3o-p11k;M7;25.06.2006;Claude
363;r9o-s2;MK;25.06.2006;Claude
367;y1o-o4k;O4;25.06.2006;Claude
368;y9o-o4k;O4;25.06.2006;Claude
369;p20o-o4k;O4;25.06.2006;Claude
370;y20o-o4k;O4;25.06.2006;Claude
372;r20o-o4k;O4;25.06.2006;Claude
374;y2o-o4k;O4;25.06.2006;Claude
375;y1o-o4k;M1;26.06.2006;Georg
376;y9o-o4k;M1;26.06.2006;Georg
377;b14k-p11k;IS1;27.06.2006;Aymeric
379;s16k-p20;M1;27.06.2006;Aymeric
380;b14k-p11k;TRC;29.06.2006;Richard
381;o7k-y14;O1;27.02.2006;
382;o7k-y14;U1;05.07.2006;Georg
383;p11k-ch900;M7;05.07.2006;kate
384;p11k-ch900;IS4;05.07.2006;
385;s16k-p20;IS1;06.07.2006;Katja
386;p18k-s6;MK;07.07.2006;Katja
387;p20k-sg8;MK;07.07.2006;Katja
388;s3k-y8;MK;07.07.2006;Katja
389;r9k-s17;MK;07.07.2006;Katja
390;b5o-g14k;M6;07.07.2006;Katja
391;p2o-g14k;M6;07.07.2006;Katja
392;b2o-b3k;U4;07.07.2006;Katja
393;b3o-b3k;U4;07.07.2006;Katja
394;b4o-b3k;U4;07.07.2006;Katja
395;b3k;U4;07.07.2006;Katja
396;blue3;U4;07.07.2006;Katja
397;yellow8;M5;07.07.2006;Katja
398;g5k;U1;07.07.2006;Katja
399;y6o-s3k;ZZ2;07.07.2006;Georg
400;y5o-s3k;ZZ2;07.07.2006;Georg
401;y4o-wang;MK;29.06.2006;Claude
402;b20o-ch900;MK;11.07.2006;Claude
403;silver17;M5;11.07.2006;Katja
404;b3k;M5;11.07.2006;Katja
405;p11k-ch900;IS4;11.07.2006;Katja
406;p20k-sg8;IS7;13.07.2006;Katja
407;p18k-s6;IS6;13.07.2006;Georg
408;green10;U6;28.04.2006;
409;red5;O4;22.07.2005;
410;red5;M5;23.09.2005;
411;red5;O5;01.04.2006;
412;orange3;O4;22.07.2005;
413;orange3;M5;23.09.2005;
414;orange3;O5;01.04.2006;
415;green16;U1;17.09.2005;
416;green16;O4;07.04.2006;
417;silver15;M1;17.09.2005;
418;silver15;O4;07.04.2006;
419;g2o-r16;M3;14.07.2006;Georg
420;y7o-r16;M3;14.07.2006;Georg
421;y8o-r16;M3;14.07.2006;Georg
422;p3o-sb;O2;14.07.2006;Georg
423;p4o-sb;O2;14.07.2006;Georg
424;p5o-sb;O2;14.07.2006;Georg
425;p6o-sb;O2;14.07.2006;Georg
426;k6k-g14k;M6;17.04.2006;
427;k6k-g14k;M1;18.07.2006;Katja
428;o20k-sg8;M1;18.07.2006;Katja
429;b3k;IS8;19.07.2006;Katja
430;Silver17;MK;19.07.2006;Katja
431;s15k-r16;M1;19.07.2006;Katja
432;p18k-s6;MK;19.07.2006;Claude
433;g3o-r11;U3;19.07.2006;Georg
434;p5o-sb;M1;19.07.2006;Georg
435;Silver17;IS8;21.07.2006;Claude
437;p8o-g14k;M6;21.07.2006;Claude
438;g4o-r11;U3;21.07.2006;Claude
439;p5o-sb;MK;21.07.2006;Georg
440;y1o-o4k;E1;10.07.2006;Georg
441;g3o-r11;E1;21.07.2006;Georg
442;k6k-g14k;IS6;24.07.2006;Katja
443;o7k-y14;MK;25.07.2006;Georg
444;r2o-p11k;IS1;28.07.2006;Katja
445;r4o-p11k;IS4;28.07.2006;Katja
446;p18k-s6;E2;28.07.2006;Claude
447;p7o-y13k;U6;28.07.2006;Georg
448;p9o-y13k;U6;29.07.2006;Georg
449;p18k-s6;MK;03.08.2006;Claude
450;b10o-p11k;M7;04.08.2006;Katja
451;b11o-p11k;M7;04.08.2006;Katja
452;b6o-p11k;M7;04.08.2006;Katja
453;b7o-p11k;M7;04.08.2006;Katja
454;b8o-p11k;M7;04.08.2006;Katja
455;b9o-p11k;M7;04.08.2006;Katja
457;g6o-r12k;O5;04.08.2006;Katja
458;g9o-r12k;O5;04.08.2006;Katja
459;g7o-r12k;O5;04.08.2006;Katja
460;g8o-r12k;O5;04.08.2006;Katja
461;o6o-r12k;O5;04.08.2006;Katja
462;k8k-b3k;M1;04.08.2006;Katja
463;o4k-p2;O4;04.08.2006;Katja
466;o17k-g14k;M1;04.08.2006;Katja
467;p5o-sb;E1;04.08.2006;Georg
468;b4o-b3k;M1;04.08.2006;Katja
469;k8k-b3k;IS6;04.08.2006;Katja
471;o8o-s3k;ZZ2;04.08.2006;Katja
472;o9o-s3k;ZZ2;04.08.2006;Katja
473;o7k-y14;E1;04.08.2006;Georg
474;b4o-b3k;IS6;07.08.2006;Katja
475;p18k-s6;E2;10.08.2006;Claude
476;b12o-g14k;M6;11.08.2006;Florian
478;b13o-g14k;M6;11.08.2006;Florian
480;o2o-g14k;M6;11.08.2006;Florian
482;o3o-g14k;M6;11.08.2006;Florian
486;o4o-r14;O3;11.08.2006;Florian
487;o5o-r14;O3;11.08.2006;Florian
488;r9k-s17;ZZ1;12.08.2006;Georg
489;s3k-y8;ZZ2;12.08.2006;Georg
490;o17k-g14k;IS1;17.08.2006;Katja
491;o4k-p2;IS7;17.08.2006;Katja
492;s3o-r16;M3;23.08.2006;Katja
493;s1o-r16;M3;25.08.2006;Aymeric
495;b14o-sb;O2;25.08.2006;Aymeric
496;g5o-p20;O1;25.08.2006;Aymeric
497;y5o-s3k;IS2;25.08.2006;Georg
498;y6o-s3k;IS5;25.08.2006;Georg
499;s2o-r16;M3;27.08.2006;Georg
500;s4o-r16;M3;27.08.2006;Georg
501;s5o-r16;M3;27.08.2006;Georg
502;s6o-r16;M3;27.08.2006;Georg
503;b15o-sb;O2;27.08.2006;Georg
504;b16o-sb;O2;27.08.2006;Georg
505;b19o-sb;O2;27.08.2006;Georg
507;y10o-r11;U3;27.08.2006;Georg
508;y11o-r11;U3;27.08.2006;Georg
509;y12o-r11;U3;27.08.2006;Georg
510;y13o-r11;U3;27.08.2006;Georg
511;s1o-r16;IS1;27.08.2006;Richard
512;s3o-r16;E2;27.08.2006;Richard
513;b5o-g14k;M1;28.08.2006;Katja
514;g2o-r16;M1;28.08.2006;Katja
515;k8k-b3k;M1;28.08.2006;Katja
517;s2o-r16;M1;28.08.2006;Georg
518;s1o-r16;E2;31.08.2006;Richard
519;s1o-r16;IS6;31.08.2006;Katja
520;y4o-wang;IS3;03.09.2006;Claude
521;p18k-s6;MK;03.09.2006;Claude
522;g14k;M6;04.09.2006;Claude
523;g14k;IS8;06.09.2006;Claude
524;g5o-p20;IS4;06.09.2006;Georg
525;b14o-sb;IS6;31.08.2006;Richard
526;s3o-r16;IS1;08.09.2006;Richard
527;p15o-s3k;ZZ1;08.09.2006;Georg
528;r9k-s17;MK;08.09.2006;Georg
529;s3o-r16;E2;08.09.2006;Richard
530;purple20;O1;10.09.2006;Georg
531;purple13;O1;10.09.2006;Georg
532;y13k-s17;U6;10.09.2006;Georg
533;p19k-o3;U6;10.09.2006;Georg
534;Silver17;M5;10.09.2006;Georg
535;blue10;M5;10.09.2006;Georg
536;goldch900;M5;10.09.2006;Georg
537;silver1;M5;10.09.2006;Georg
538;o19o-y13k;U6;10.09.2006;Georg
539;o18o-y13k;U6;10.09.2006;Georg
540;o7o-p20;O1;10.09.2006;Georg
541;silvergreen8;U5;10.09.2006;Georg
542;purple5;U5;10.09.2006;Georg
543;blue2;M5;10.09.2006;Georg
544;yellow20;M5;10.09.2006;Georg
